range[mJ/cm^2],u(D)
105.858487241898,0
113.393431070678,0.0109965635738832
120.928374899457,0.0233676975945017
128.463318728237,0.0144329896907217
135.998262557017,0.00962199312714777
143.533206385796,0.0192439862542955
151.068150214576,0.0254295532646048
158.603094043356,0.0261168384879725
166.138037872135,0.029553264604811
173.672981700915,0.022680412371134
181.207925529695,0.0467353951890034
188.742869358474,0.0549828178694158
196.277813187254,0.0742268041237113
203.812757016034,0.0859106529209622
211.347700844813,0.0728522336769759
218.882644673593,0.0604810996563574
226.417588502373,0.0618556701030928
233.952532331152,0.0481099656357388
241.487476159932,0.0405498281786942
249.022419988712,0.0329896907216495
256.557363817491,0.0336769759450172
264.092307646271,0.029553264604811
271.627251475051,0.015807560137457
279.16219530383,0.0261168384879725
286.69713913261,0.0178694158075601
294.23208296139,0.0116838487972509
301.767026790169,0.0171821305841924
309.301970618949,0.0219931271477663
316.836914447729,0.0116838487972509
324.371858276508,0.0164948453608247
331.906802105288,0.00618556701030928
339.441745934068,0.00549828178694158
346.976689762848,0.00618556701030928
354.511633591627,0.0013745704467354
362.046577420407,0.00412371134020619
369.581521249187,0.00206185567010309
377.116465077966,0.00206185567010309
384.651408906746,0.000687285223367698
392.186352735526,0.000687285223367698
399.721296564305,0.0013745704467354
407.256240393085,0
414.791184221865,0
422.326128050644,0
429.861071879424,0.0013745704467354
437.396015708204,0.00274914089347079
444.930959536983,0.0013745704467354
452.465903365763,0.0013745704467354
460.000847194543,0
467.535791023322,0.000687285223367698
475.070734852102,0
